Input Set;Dimensionality;Family;Fitting Strategy;Container Splitting Strategy;Object Ordering;Container Size;Average Fulfillent;Quality;Execution Time [ms];Containers Used;Total Object Amount
ll.2Dset;TwoDimensional;Shelf;NextFit;None;ByArea;60x60;0,878391813;1,138444126;2;57;2000
ll.2Dset;TwoDimensional;Shelf;FirstFit;None;ByArea;60x60;0,878391813;1,138444126;17;57;2000
ll.2Dset;TwoDimensional;Shelf;BestAreaFit;None;ByArea;60x60;0,894077381;1,118471422;19;56;2000
ll.2Dset;TwoDimensional;Shelf;BestWidthFit;None;ByArea;60x60;0,894077381;1,118471422;19;56;2000
ll.2Dset;TwoDimensional;Shelf;BestHeightFit;None;ByArea;60x60;0,894077381;1,118471422;19;56;2000
ll.2Dset;TwoDimensional;Shelf;WorstAreaFit;None;ByArea;60x60;0,894077381;1,118471422;19;56;2000
ll.2Dset;TwoDimensional;Shelf;WorstWidthFit;None;ByArea;60x60;0,894077381;1,118471422;19;56;2000
ll.2Dset;TwoDimensional;Skyline;BottomLeft;None;ByArea;60x60;0,863247126;1,15841683;142;58;2000
ll.2Dset;TwoDimensional;Skyline;BestFitBestContainer;None;ByArea;60x60;0,863247126;1,15841683;130;58;2000
ll.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MinAreaSplitRule;ByArea;60x60;0,894077381;1,118471422;17;56;2000
ll.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MaxAreaSplitRule;ByArea;60x60;0,878391813;1,138444126;16;57;2000
ll.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerAxisSplitRule;ByArea;60x60;0,878391813;1,138444126;16;57;2000
ll.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerLeftoverAxisSplitRule;ByArea;60x60;0,878391813;1,138444126;17;57;2000
ll.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterAxisSplitRule;ByArea;60x60;0,894077381;1,118471422;21;56;2000
ll.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterLeftoverAxisSplitRule;ByArea;60x60;0,894077381;1,118471422;18;56;2000
ll.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MinAreaSplitRule;ByArea;60x60;0,894077381;1,118471422;23;56;2000
ll.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MaxAreaSplitRule;ByArea;60x60;0,68586758;1,45800739;22;73;2000
ll.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerAxisSplitRule;ByArea;60x60;0,667577778;1,497952798;23;75;2000
ll.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerLeftoverAxisSplitRule;ByArea;60x60;0,667577778;1,497952798;22;75;2000
