Input Set;Dimensionality;Family;Fitting Strategy;Container Splitting Strategy;Object Ordering;Container Size;Average Fulfillent;Quality;Execution Time [ms];Containers Used;Total Object Amount
mh.2Dset;TwoDimensional;Shelf;NextFit;None;ByArea;60x60;0,461286008230453;2,1678524432946;2;108;2000
mh.2Dset;TwoDimensional;Shelf;FirstFit;None;ByArea;60x60;0,607547425474255;1,64596204027923;19;82;2000
mh.2Dset;TwoDimensional;Shelf;BestAreaFit;None;ByArea;60x60;0,615048010973937;1,62588933247095;21;81;2000
mh.2Dset;TwoDimensional;Shelf;BestWidthFit;None;ByArea;60x60;0,607547425474255;1,64596204027923;21;82;2000
mh.2Dset;TwoDimensional;Shelf;BestHeightFit;None;ByArea;60x60;0,615048010973937;1,62588933247095;21;81;2000
mh.2Dset;TwoDimensional;Shelf;WorstAreaFit;None;ByArea;60x60;0,586104575163399;1,70618016370408;21;85;2000
mh.2Dset;TwoDimensional;Shelf;WorstWidthFit;None;ByArea;60x60;0,607547425474255;1,64596204027923;21;82;2000
mh.2Dset;TwoDimensional;Skyline;BottomLeft;None;ByArea;60x60;0,889623015873016;1,12407163726387;134;56;2000
mh.2Dset;TwoDimensional;Skyline;BestFitBestContainer;None;ByArea;60x60;0,889623015873016;1,12407163726387;156;56;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MinAreaSplitRule;ByArea;60x60;0,889623015873016;1,12407163726387;27;56;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MaxAreaSplitRule;ByArea;60x60;0,790776014109348;1,26458059192185;20;63;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerAxisSplitRule;ByArea;60x60;0,778420138888889;1,28465329973013;21;64;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerLeftoverAxisSplitRule;ByArea;60x60;0,816703096539162;1,22443517630528;20;61;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterAxisSplitRule;ByArea;60x60;0,889623015873016;1,12407163726387;25;56;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterLeftoverAxisSplitRule;ByArea;60x60;0,889623015873016;1,12407163726387;27;56;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MinAreaSplitRule;ByArea;60x60;0,844387947269303;1,18428976068872;32;59;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MaxAreaSplitRule;ByArea;60x60;0,329926416482708;3,03097887905078;51;151;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerAxisSplitRule;ByArea;60x60;0,262204678362573;3,81381448357383;58;190;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerLeftoverAxisSplitRule;ByArea;60x60;0,262204678362573;3,81381448357383;58;190;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterAxisSplitRule;ByArea;60x60;0,701674491392801;1,42516225438812;48;71;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterLeftoverAxisSplitRule;ByArea;60x60;0,844387947269303;1,18428976068872;34;59;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MinAreaSplitRule;ByArea;60x60;0,889623015873016;1,12407163726387;26;56;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MaxAreaSplitRule;ByArea;60x60;0,830314814814815;1,204362468497;21;60;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerAxisSplitRule;ByArea;60x60;0,803530465949821;1,24450788411357;20;62;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerLeftoverAxisSplitRule;ByArea;60x60;0,830314814814815;1,204362468497;22;60;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;ShorterAxisSplitRule;ByArea;60x60;0,889623015873016;1,12407163726387;26;56;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;ShorterLeftoverAxisSplitRule;ByArea;60x60;0,889623015873016;1,12407163726387;27;56;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;MinAreaSplitRule;ByArea;60x60;0,615048010973937;1,62588933247095;63;81;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;MaxAreaSplitRule;ByArea;60x60;0,272234365513054;3,67330552891585;94;183;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;LongerAxisSplitRule;ByArea;60x60;0,176038476639183;5,68057630974418;109;283;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;LongerLeftoverAxisSplitRule;ByArea;60x60;0,176038476639183;5,68057630974418;110;283;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;ShorterAxisSplitRule;ByArea;60x60;0,366315359477124;2,72988826192653;98;136;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;ShorterLeftoverAxisSplitRule;ByArea;60x60;0,691929012345679;1,4452349621964;61;72;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;MinAreaSplitRule;ByArea;60x60;0,889623015873016;1,12407163726387;27;56;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;MaxAreaSplitRule;ByArea;60x60;0,732630718954249;1,36494413096327;23;68;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;LongerAxisSplitRule;ByArea;60x60;0,743565505804312;1,34487142315498;23;67;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;LongerLeftoverAxisSplitRule;ByArea;60x60;0,743565505804312;1,34487142315498;22;67;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;ShorterAxisSplitRule;ByArea;60x60;0,87401559454191;1,14414434507215;26;57;2000
mh.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;ShorterLeftoverAxisSplitRule;ByArea;60x60;0,889623015873016;1,12407163726387;27;56;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;MinAreaSplitRule;ByArea;60x60;0,858946360153257;1,16421705288043;37;58;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;MaxAreaSplitRule;ByArea;60x60;0,444811507936508;2,24814327452773;41;112;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;LongerAxisSplitRule;ByArea;60x60;0,395388007054674;2,5291611838437;43;126;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;LongerLeftoverAxisSplitRule;ByArea;60x60;0,38619293712317;2,58937930726855;45;129;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;ShorterAxisSplitRule;ByArea;60x60;0,682450532724505;1,46530767000468;50;73;2000
mh.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;ShorterLeftoverAxisSplitRule;ByArea;60x60;0,844387947269303;1,18428976068872;38;59;2000
