Input Set;Dimensionality;Family;Fitting Strategy;Container Splitting Strategy;Object Ordering;Container Size;Average Fulfillent;Quality;Execution Time [ms];Containers Used;Total Object Amount
10k.2Dset;TwoDimensional;Shelf;NextFit;None;None;60x60;0,634065592309867;1,57712390031614;20;393;10000
10k.2Dset;TwoDimensional;Shelf;FirstFit;None;None;60x60;0,722283413848631;1,3844980804302;399;345;10000
10k.2Dset;TwoDimensional;Shelf;BestAreaFit;None;None;60x60;0,74607119095143;1,340354663373;491;334;10000
10k.2Dset;TwoDimensional;Shelf;BestWidthFit;None;None;60x60;0,743844112769486;1,34436770128729;503;335;10000
10k.2Dset;TwoDimensional;Shelf;BestHeightFit;None;None;60x60;0,752833165491776;1,32831554963013;499;331;10000
10k.2Dset;TwoDimensional;Shelf;WorstAreaFit;None;None;60x60;0,73506719108489;1,36041985294446;507;339;10000
10k.2Dset;TwoDimensional;Shelf;WorstWidthFit;None;None;60x60;0,7372419460881;1,35640681503016;494;338;10000
10k.2Dset;TwoDimensional;Skyline;BottomLeft;None;None;60x60;0,856315387552502;1,16779403305851;2957;291;10000
10k.2Dset;TwoDimensional;Skyline;BestFitBestContainer;None;None;60x60;0,856315387552501;1,16779403305851;2925;291;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MinAreaSplitRule;None;60x60;0,889956349206349;1,12365061600132;660;280;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MaxAreaSplitRule;None;60x60;0,757409658899021;1,32028947380155;565;329;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerAxisSplitRule;None;60x60;0,726494978943958;1,37647200460162;550;343;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerLeftoverAxisSplitRule;None;60x60;0,752833165491776;1,32831554963013;563;331;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterAxisSplitRule;None;60x60;0,868250096786682;1,15174188140135;701;287;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterLeftoverAxisSplitRule;None;60x60;0,883644602048858;1,1316766918299;669;282;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MinAreaSplitRule;None;60x60;0,77387508626639;1,29219820840152;814;322;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MaxAreaSplitRule;None;60x60;0,413246729316381;2,41986186231713;918;603;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerAxisSplitRule;None;60x60;0,285765800203873;3,49936906126125;1141;872;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerLeftoverAxisSplitRule;None;60x60;0,320292773493288;3,12214349731795;980;778;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterAxisSplitRule;None;60x60;0,771479188166495;1,29621124631581;893;323;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterLeftoverAxisSplitRule;None;60x60;0,786081317910971;1,27213301883007;856;317;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MinAreaSplitRule;None;60x60;0,896358912869705;1,11562454017274;606;278;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MaxAreaSplitRule;None;60x60;0,776285912080304;1,28818517048723;555;321;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerAxisSplitRule;None;60x60;0,752833165491776;1,32831554963013;487;331;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,771479188166495;1,29621124631581;574;323;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;ShorterAxisSplitRule;None;60x60;0,871285936285936;1,14772884348706;670;286;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,889956349206349;1,12365061600132;623;280;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;MinAreaSplitRule;None;60x60;0,454722222222222;2,19914477703115;1841;548;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;MaxAreaSplitRule;None;60x60;0,280616866866867;3,5635776678899;2009;888;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;LongerAxisSplitRule;None;60x60;0,197925161062571;5,05241473409165;2424;1259;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,229243585812123;4,36217221283369;2197;1087;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;ShorterAxisSplitRule;None;60x60;0,556222718253968;1,79784098560211;1603;448;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,499374304163884;2,00250591923092;1742;499;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;MinAreaSplitRule;None;60x60;0,886789244760775;1,12766365391561;652;281;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;MaxAreaSplitRule;None;60x60;0,730755946562398;1,36844592877304;564;341;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;LongerAxisSplitRule;None;60x60;0,701937402190923;1,4246284595731;559;355;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,726494978943959;1,37647200460162;563;343;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;ShorterAxisSplitRule;None;60x60;0,865235339506172;1,15575491931564;707;288;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,880522182960346;1,13568972974419;678;283;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;MinAreaSplitRule;None;60x60;0,788568917018284;1,26811998091578;824;316;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;MaxAreaSplitRule;None;60x60;0,513789232531501;1,94632338843086;790;485;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;LongerAxisSplitRule;None;60x60;0,385143396874463;2,59643553054591;943;647;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,544078117418728;1,83797136474502;827;458;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;ShorterAxisSplitRule;None;60x60;0,776285912080305;1,28818517048723;887;321;10000
10k.2Dset;TwoDimensional;GuillotineCut;WorstLongSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,788568917018284;1,26811998091578;860;316;10000
10k.2Dset;TwoDimensional;Shelf;NextFit;None;None;60x90;0,651471314451707;1,53498700221609;19;255;10000
10k.2Dset;TwoDimensional;Shelf;FirstFit;None;None;60x90;0,731829009626367;1,36643940981589;363;227;10000
10k.2Dset;TwoDimensional;Shelf;BestAreaFit;None;None;60x90;0,741630291005291;1,34838073920158;462;224;10000
10k.2Dset;TwoDimensional;Shelf;BestWidthFit;None;None;60x90;0,741630291005291;1,34838073920158;461;224;10000
10k.2Dset;TwoDimensional;Shelf;BestHeightFit;None;None;60x90;0,744955987377512;1,34236118233015;461;223;10000
10k.2Dset;TwoDimensional;Shelf;WorstAreaFit;None;None;60x90;0,728619233268356;1,37245896668733;463;228;10000
10k.2Dset;TwoDimensional;Shelf;WorstWidthFit;None;None;60x90;0,728619233268357;1,37245896668733;465;228;10000
10k.2Dset;TwoDimensional;Skyline;BottomLeft;None;None;60x90;0,851924026590694;1,17381358992995;1810;195;10000
10k.2Dset;TwoDimensional;Skyline;BestFitBestContainer;None;None;60x90;0,856315387552501;1,16779403305851;2050;194;10000
10k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MinAreaSplitRule;None;60x90;0,883644602048858;1,1316766918299;615;188;10000
