Input Set;Dimensionality;Family;Fitting Strategy;Container Splitting Strategy;Object Ordering;Container Size;Average Fulfillent;Quality;Execution Time [ms];Containers Used;Total Object Amount
1k.2Dset;TwoDimensional;Shelf;NextFit;None;None;60x60;0,619388888888889;1,61449457350435;2;40;1000
1k.2Dset;TwoDimensional;Shelf;FirstFit;None;None;60x60;0,707873015873016;1,41268275181631;5;35;1000
1k.2Dset;TwoDimensional;Shelf;BestAreaFit;None;None;60x60;0,728692810457516;1,3723203874787;7;34;1000
1k.2Dset;TwoDimensional;Shelf;BestWidthFit;None;None;60x60;0,728692810457516;1,3723203874787;7;34;1000
1k.2Dset;TwoDimensional;Shelf;BestHeightFit;None;None;60x60;0,728692810457516;1,3723203874787;6;34;1000
1k.2Dset;TwoDimensional;Shelf;WorstAreaFit;None;None;60x60;0,707873015873016;1,41268275181631;7;35;1000
1k.2Dset;TwoDimensional;Shelf;WorstWidthFit;None;None;60x60;0,707873015873016;1,41268275181631;7;35;1000
1k.2Dset;TwoDimensional;Skyline;BottomLeft;None;None;60x60;0,825851851851852;1,21087093012826;37;30;1000
1k.2Dset;TwoDimensional;Skyline;BestFitBestContainer;None;None;60x60;0,825851851851852;1,21087093012826;43;30;1000
1k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MinAreaSplitRule;None;60x60;0,854329501915709;1,17050856579065;9;29;1000
1k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MaxAreaSplitRule;None;60x60;0,707873015873016;1,41268275181631;8;35;1000
1k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerAxisSplitRule;None;60x60;0,707873015873016;1,41268275181631;8;35;1000
1k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerLeftoverAxisSplitRule;None;60x60;0,707873015873016;1,41268275181631;8;35;1000
1k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterAxisSplitRule;None;60x60;0,854329501915709;1,17050856579065;9;29;1000
1k.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterLeftoverAxisSplitRule;None;60x60;0,854329501915709;1,17050856579065;9;29;1000
1k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MinAreaSplitRule;None;60x60;0,750774410774411;1,33195802314109;11;33;1000
1k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MaxAreaSplitRule;None;60x60;0,369784411276949;2,70427841061979;13;67;1000
1k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerAxisSplitRule;None;60x60;0,281540404040404;3,55188806170957;14;88;1000
1k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerLeftoverAxisSplitRule;None;60x60;0,281540404040404;3,55188806170957;14;88;1000
1k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterAxisSplitRule;None;60x60;0,750774410774411;1,33195802314109;12;33;1000
1k.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterLeftoverAxisSplitRule;None;60x60;0,750774410774411;1,33195802314109;11;33;1000
1k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MinAreaSplitRule;None;60x60;0,88484126984127;1,13014620145305;8;28;1000
1k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MaxAreaSplitRule;None;60x60;0,728692810457516;1,3723203874787;8;34;1000
1k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerAxisSplitRule;None;60x60;0,728692810457516;1,3723203874787;7;34;1000
1k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,728692810457516;1,3723203874787;7;34;1000
1k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;ShorterAxisSplitRule;None;60x60;0,854329501915709;1,17050856579065;9;29;1000
1k.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,88484126984127;1,13014620145305;9;28;1000
