Input Set;Dimensionality;Family;Fitting Strategy;Container Splitting Strategy;Object Ordering;Container Size;Average Fulfillent;Quality;Execution Time [ms];Containers Used;Total Object Amount
mm.3Dset;ThreeDimensional;Shelf;NextFit;None;None;60x60x60;0,37470987654321;2,66873136418299;7;21;2000
mm.3Dset;ThreeDimensional;Shelf;FirstFit;None;None;60x60x60;0,524593827160494;1,90623668870214;36;15;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;MinVolumeSplitRule;None;60x60x60;0,491806712962963;2,03331913461561;71;16;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;MaxVolumeSplitRule;None;60x60x60;0,437161522633745;2,28748402644256;57;18;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;LongerAxisSplitRule;None;60x60x60;0,491806712962963;2,03331913461561;58;16;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;LongerLeftoverAxisSplitRule;None;60x60x60;0,462876906318083;2,16040158052909;60;17;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;ShorterAxisSplitRule;None;60x60x60;0,524593827160494;1,90623668870214;52;15;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;ShorterLeftoverAxisSplitRule;None;60x60x60;0,524593827160494;1,90623668870214;52;15;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;MinVolumeSplitRule;None;60x60x60;0,357677609427609;2,79581381009646;77;22;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;MaxVolumeSplitRule;None;60x60x60;0,238451739618406;4,1937207151447;82;33;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;LongerAxisSplitRule;None;60x60x60;0,167423561859732;5,97287495793336;92;47;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;LongerLeftoverAxisSplitRule;None;60x60x60;0,121060113960114;8,26035898437592;95;65;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;ShorterAxisSplitRule;None;60x60x60;0,12490329218107;8,00619409254897;98;63;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;ShorterLeftoverAxisSplitRule;None;60x60x60;0,133371311989956;7,49786430889506;102;59;2000
