Input Set;Dimensionality;Family;Fitting Strategy;Container Splitting Strategy;Object Ordering;Container Size;Average Fulfillent;Quality;Execution Time [ms];Containers Used;Total Object Amount
ll.3Dset;ThreeDimensional;Shelf;NextFit;None;ByVolume;60x60x60;0,719185185185185;1,39046245751365;7;11;2000
ll.3Dset;ThreeDimensional;Shelf;FirstFit;None;ByVolume;60x60x60;0,791103703703704;1,26405677955786;24;10;2000
ll.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;MinVolumeSplitRule;ByVolume;60x60x60;0,791103703703704;1,26405677955786;27;10;2000
ll.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,719185185185185;1,39046245751365;26;11;2000
ll.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;LongerAxisSplitRule;ByVolume;60x60x60;0,719185185185185;1,39046245751365;27;11;2000
ll.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,719185185185185;1,39046245751365;26;11;2000
ll.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,791103703703704;1,26405677955786;27;10;2000
ll.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,791103703703704;1,26405677955786;24;10;2000
ll.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;MinVolumeSplitRule;ByVolume;60x60x60;0,565074074074074;1,76967949138101;37;14;2000
ll.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,565074074074074;1,76967949138101;35;14;2000
ll.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;LongerAxisSplitRule;ByVolume;60x60x60;0,527402469135802;1,89608516933679;37;15;2000
ll.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,719185185185185;1,39046245751365;33;11;2000
ll.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,527402469135802;1,89608516933679;34;15;2000
ll.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,527402469135802;1,89608516933679;36;15;2000
