Input Set;Dimensionality;Family;Fitting Strategy;Container Splitting Strategy;Object Ordering;Container Size;Average Fulfillent;Quality;Execution Time [ms];Containers Used;Total Object Amount
10k.3Dset;ThreeDimensional;Shelf;NextFit;None;ByVolume;60x60x60;0,464820206971678;2,15136946501324;39;85;10000
10k.3Dset;ThreeDimensional;Shelf;FirstFit;None;ByVolume;60x60x60;0,627138374485597;1,59454442700981;576;63;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;MinVolumeSplitRule;ByVolume;60x60x60;0,731661436899863;1,36675236600841;685;54;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,718358501683502;1,39206259500857;666;55;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;LongerAxisSplitRule;ByVolume;60x60x60;0,669656230382925;1,49330351100919;742;59;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,718358501683502;1,39206259500857;659;55;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,669656230382925;1,49330351100919;654;59;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,718358501683502;1,39206259500857;669;55;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;MinVolumeSplitRule;ByVolume;60x60x60;0,548746077674897;1,82233648801121;1251;72;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,359179250841751;2,78412519001713;1357;110;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;LongerAxisSplitRule;ByVolume;60x60x60;0,313569187242798;3,18908885401962;1418;126;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,506534840930674;1,97419786201215;1086;78;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,177173621491447;5,64418106703473;1877;223;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,500123007501172;1,9995080910123;1284;79;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;MinVolumeSplitRule;ByVolume;60x60x60;0,774700344952796;1,29082167900794;636;51;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,745466369671558;1,34144213700825;613;53;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;LongerAxisSplitRule;ByVolume;60x60x60;0,759802261396011;1,3161319080081;681;52;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,693152940220923;1,44268305300888;621;57;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,705530671296296;1,41737282400872;595;56;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,759802261396012;1,3161319080081;705;52;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstShortSideFit;MinVolumeSplitRule;ByVolume;60x60x60;0,145792315839825;6,8590720590422;3560;271;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstShortSideFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,127040892580684;7,87148121904843;3526;311;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstShortSideFit;LongerAxisSplitRule;ByVolume;60x60x60;0,0742663864522417;13,4650418280828;3787;532;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstShortSideFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,100790095899471;9,92160976806105;3692;392;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstShortSideFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,10235678132796;9,76974839406011;3995;386;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstShortSideFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,133478775650651;7,4918277840461;3712;296;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestLongSideFit;MinVolumeSplitRule;ByVolume;60x60x60;0,681202027458493;1,46799328200903;691;58;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestLongSideFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,718358501683502;1,39206259500857;680;55;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestLongSideFit;LongerAxisSplitRule;ByVolume;60x60x60;0,669656230382926;1,49330351100919;783;59;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestLongSideFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,627138374485597;1,59454442700981;710;63;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestLongSideFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,637253509557945;1,56923419800966;729;62;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestLongSideFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,705530671296296;1,41737282400872;754;56;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstLongSideFit;MinVolumeSplitRule;ByVolume;60x60x60;0,487774291266575;2,05012854901261;1352;81;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstLongSideFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,438996862139918;2,27792061001402;1192;90;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstLongSideFit;LongerAxisSplitRule;ByVolume;60x60x60;0,454134684972329;2,20198992301355;1218;87;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstLongSideFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,323850144201579;3,087847938019;1328;122;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstLongSideFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,243887145633288;4,10025709802523;1636;162;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstLongSideFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,340601013729247;2,93598656401806;1553;116;10000
10k.3Dset;ThreeDimensional;Shelf;NextFit;None;ByVolume;60x60x90;0,470353780864198;2,12605923601308;38;56;10000
10k.3Dset;ThreeDimensional;Shelf;FirstFit;None;ByVolume;60x60x90;0,627138374485597;1,59454442700981;572;42;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;MinVolumeSplitRule;ByVolume;60x60x90;0,64243443239988;1,55657908350958;516;41;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;MaxVolumeSplitRule;ByVolume;60x60x90;0,627138374485597;1,59454442700981;689;42;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;LongerAxisSplitRule;ByVolume;60x60x90;0,731661436899863;1,36675236600841;800;36;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x90;0,658495293209877;1,51861374000934;733;40;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;ShorterAxisSplitRule;ByVolume;60x60x90;0,627138374485597;1,59454442700981;528;42;10000
10k.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x90;0,64243443239988;1,55657908350958;515;41;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;MinVolumeSplitRule;ByVolume;60x60x90;0,139364083219022;7,17544992154415;1843;189;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;MaxVolumeSplitRule;ByVolume;60x60x90;0,280210763068032;3,56874228902196;1486;94;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;LongerAxisSplitRule;ByVolume;60x60x90;0,418092249657064;2,39181664051472;1419;63;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x90;0,516466896635197;1,93623251851191;1227;51;10000
10k.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;ShorterAxisSplitRule;ByVolume;60x60x90;0,118115747660964;8,46627160055209;1870;223;10000
