Input Set;Dimensionality;Family;Fitting Strategy;Container Splitting Strategy;Object Ordering;Container Size;Average Fulfillent;Quality;Execution Time [ms];Containers Used;Total Object Amount
mm.2Dset;TwoDimensional;Shelf;NextFit;None;None;60x60;0,645715811965812;1,54866890583895;3;78;2000
mm.2Dset;TwoDimensional;Shelf;FirstFit;None;None;60x60;0,72993961352657;1,36997633978061;17;69;2000
mm.2Dset;TwoDimensional;Shelf;BestAreaFit;None;None;60x60;0,751728855721393;1,33026688065653;20;67;2000
mm.2Dset;TwoDimensional;Shelf;BestWidthFit;None;None;60x60;0,751728855721393;1,33026688065653;20;67;2000
mm.2Dset;TwoDimensional;Shelf;BestHeightFit;None;None;60x60;0,763118686868687;1,31041215109449;19;66;2000
mm.2Dset;TwoDimensional;Shelf;WorstAreaFit;None;None;60x60;0,740674019607844;1,35012161021857;21;68;2000
mm.2Dset;TwoDimensional;Shelf;WorstWidthFit;None;None;60x60;0,740674019607843;1,35012161021857;20;68;2000
mm.2Dset;TwoDimensional;Skyline;BottomLeft;None;None;60x60;0,853658192090396;1,17142904416023;105;59;2000
mm.2Dset;TwoDimensional;Skyline;BestFitBestContainer;None;None;60x60;0,853658192090396;1,17142904416023;132;59;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MinAreaSplitRule;None;60x60;0,868376436781609;1,15157431459819;29;58;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;MaxAreaSplitRule;None;60x60;0,751728855721393;1,33026688065653;28;67;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerAxisSplitRule;None;60x60;0,7093779342723;1,40968579890468;26;71;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;LongerLeftoverAxisSplitRule;None;60x60;0,751728855721393;1,33026688065653;28;67;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterAxisSplitRule;None;60x60;0,853658192090395;1,17142904416023;33;59;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestAreaFit;ShorterLeftoverAxisSplitRule;None;60x60;0,868376436781609;1,15157431459819;31;58;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MinAreaSplitRule;None;60x60;0,751728855721393;1,33026688065653;37;67;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;MaxAreaSplitRule;None;60x60;0,423242296918767;2,36271281788249;38;119;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerAxisSplitRule;None;60x60;0,286169507575758;3,49443240291865;48;176;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;LongerLeftoverAxisSplitRule;None;60x60;0,286169507575758;3,49443240291865;48;176;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterAxisSplitRule;None;60x60;0,774858974358974;1,29055742153245;40;65;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstAreaFit;ShorterLeftoverAxisSplitRule;None;60x60;0,774858974358974;1,29055742153245;39;65;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MinAreaSplitRule;None;60x60;0,883611111111111;1,13171958503615;29;57;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;MaxAreaSplitRule;None;60x60;0,774858974358974;1,29055742153245;25;65;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerAxisSplitRule;None;60x60;0,751728855721393;1,33026688065653;23;67;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,763118686868687;1,31041215109449;25;66;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;ShorterAxisSplitRule;None;60x60;0,868376436781609;1,15157431459819;31;58;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestShortSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,883611111111111;1,13171958503615;29;57;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;MinAreaSplitRule;None;60x60;0,441805555555555;2,2634391700723;81;114;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;MaxAreaSplitRule;None;60x60;0,279810185185185;3,5738513211668;80;180;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;LongerAxisSplitRule;None;60x60;0,202272423025435;4,9438276609474;97;249;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,239837301587302;4,16949320802793;86;210;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;ShorterAxisSplitRule;None;60x60;0,541568100358423;1,84648984926951;71;93;2000
mm.2Dset;TwoDimensional;GuillotineCut;WorstShortSideFit;ShorterLeftoverAxisSplitRule;None;60x60;0,503658333333333;1,98547295620378;75;100;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;MinAreaSplitRule;None;60x60;0,868376436781609;1,15157431459819;30;58;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;MaxAreaSplitRule;None;60x60;0,719511904761905;1,38983106934264;26;70;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;LongerAxisSplitRule;None;60x60;0,709377934272301;1,40968579890468;26;71;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;LongerLeftoverAxisSplitRule;None;60x60;0,709377934272301;1,40968579890468;26;71;2000
mm.2Dset;TwoDimensional;GuillotineCut;BestLongSideFit;ShorterAxisSplitRule;None;60x60;0,853658192090395;1,17142904416023;33;59;2000
